article,source_photo,date
Hamshahri (Иран): 5 лучших российских вертолетов на все времена,"© РИА Новости, Игорь Зарембо",27.06.2021
"Японские эксперты: Кто виноват в инциденте в Крыму? Россия соблюдала в нем международное право  (Yahoo News Japan, Япония)",,27.06.2021
BBC (Великобритания): секретные документы Министерства обороны Великобритании были найдены на автобусной остановке,,27.06.2021
The National Interest (США): в воздушном бою российский истребитель Су-35 имеет решающее преимущество над американским F-22,,28.06.2021
Kayhan (Иран): «Еще раз — и мы стреляем на поражение!». Предупреждение России британцам, | Перейти в фотобанк,28.06.2021
The National Interest (США): ВМС США надо опасаться новых российских субмарин проекта «Борей», | Перейти в фотобанк,16.06.2021
Санкэй симбун (Япония): вокруг инцидента с британским эсминцем в Крыму многое непонятно,,24.06.2021
Yahoo News Japan (Япония): серия советских копий американских самолетов Douglas – все началось с советской версии модели DC-3,"© РИА Новости, Марк Редькин",18.06.2021
ЛIГАБізнесІнформ (Украина): аналогов в мире нет. На Украине представили боевой дрон ACE ONE,,17.06.2021
The Spectator (Великобритания): секретное оружие Путина? F-35,"© CC BY-SA 2.0, Gonzalo Alonso / Flickr",18.06.2021
"Скандал: американские военные вертолеты устраивают гонки над Токио (Майнити, Япония)","© flickr.com, 1GNC Münster",19.06.2021
The National Interest (США): путинские бомбардировщики и натовские истребители встречаются в небе над Балтикой,,19.06.2021
Главред (Украина): почему США никогда не сдадут Украину России,,21.06.2021
The National Interest (США): Россия чуть было не заполучила самый скоростной самолет в мире,"© РИА Новости, Сергей Мамонтов",22.06.2021
The Drive (США): Россия отработала уничтожение вражеских авианосцев на учениях в Тихом океане — для США это тревожный сигнал,,22.06.2021
"Путин играет с огнем: российские истребители на бреющем полете приблизились к британскому военному кораблю (Daily Express, Великобритания)",,22.06.2021
The Times (Великобритания): на фоне растущего напряжения на Черном море российские корабли открыли предупредительный огонь по британскому судну,,23.06.2021
The National Interest (США): эта новая российская боевая машина — будущее войны,"© РИА Новости, Михаил Воскресенский",24.06.2021
Чжунго цзюньван (Китай): электромагнитное оружие – «невидимый убийца» в информационной войне,"© РИА Новости, Юрий Куйдин",24.06.2021
Fox News (США): Россия дала предупредительный выстрел по британскому военному кораблю в Черном море,"© РИА Новости, Алексей Мальгавко",23.06.2021
"Defender: что стоит за российским инцидентом ВМФ (The Spectator, Великобритания)",,24.06.2021
"Предупреждение эсминцу «Дефендер» — это напоминание Путина о том, где может вспыхнуть война (The Times, Великобритания)",,24.06.2021
"Чудо века: советский истребитель МИГ-17 пролетает под мостом через Обь (Yahoo News Japan, Япония)","© РИА Новости, В. Куняев",14.06.2021
"Огня и ударов не видно: Минобороны РФ опубликовало видео инцидента на Черном море (Фокус, Украина)",,24.06.2021
"Onet (Польша): дрон без приказа атаковал человека. Возможно, мы создадим нечто, что в будущем нас убьет",,03.06.2021
The National Interest (США): способна ли Украина справиться с этими пятью образцами российского оружия?,"© РИА Новости, Алексей Даничев",03.06.2021
The National Interest (США): может ли поворот Зеленского к популизму спасти его на следующих выборах на Украине?,"© CC BY-SA 4.0, Пресс-служба Офиса президента Украины",28.06.2021
Sabah (Турция): Черное море, | Перейти в фотобанк,28.06.2021
Tygodnik Powszechny (Польша): соседки из Донбасса,"© РИА Новости, Андрей Стенин",27.06.2021
Daily Mail (Великобритания): жесткое послание НАТО Путину перед саммитом в Женеве,"© CC BY-SA 1.0, Balon Greyjoy",04.06.2021
Forbes (США): обостряется ли война между Украиной и Россией? Чем США могут помочь,"© РИА Новости, Андрей Стенин",27.06.2021
The National Interest (США): почему Запад должен оказать поддержку Украине,,27.06.2021
Страна (Украина): ход королевы. Будут ли новые походы британцев на Крым после стрельбы у Севастополя, | Перейти в фотобанк,27.06.2021
Нет согласия в евро-МММ: почему Моравецкий не дал Макрону и Меркель начать диалог с РФ?,"© РИА Новости, Алексей Витвицкий",27.06.2021
"Shukan Gendai (Япония): проблема Китая, оставшаяся за кулисами Женевского саммита","© РИА Новости, Алексей Никольский",28.06.2021
Časopis argument (Чехия): давайте называть вещи своими именами,"© flickr.com, grendelkhan ",28.06.2021
"Путинский неоимперский проект. Россия не сильна, но пользуется слабостями Запада (Forum 24, Чехия)","© РИА Новости, Владимир Астапкович",28.06.2021
Finanz und Wirtschaft (Швейцария): Россия балансирует между Азией и Европой,"© РИА Новости, Максим Блинов",28.06.2021
"Yahoo News Japan (Япония): почему ЕС стал строг к Китаю, хотя раньше шел на сближение?","© РИА Новости, Владимир Сергеев",28.06.2021
Sina (Китай): российский «Уран-9» – мощнейший наземный беспилотник,"© РИА Новости, Евгений Биятов",27.05.2021
"Newsweek (США): Россия создает армию роботов, а Китай помогает ей с искусственным интеллектом","© РИА Новости, Евгений Биятов",26.05.2021
"То, что азербайджанские войска не стоят на дороге Ереван-Горис, — во многом заслуга российской стороны. Давид Джамалян (Iravunk, Армения)","© РИА Новости, Алексей Куденко",27.05.2021
"Бог войны в китайской версии: бомбардировщик-невидимка, способный долетать до американских островов (The Times, Великобритания)",,27.05.2021
Yahoo News Japan (Япония): Польша первая в НАТО закупила турецкие боевые дроны. И сделала это явно против России,,27.05.2021
"Forbes (США): российские бомбардировщики ТУ-22 в Сирии — это угроза, существующая уже 40 лет", | Перейти в фотобанк,28.05.2021
The National Interest (США): как Россия намерена уничтожать самолеты-невидимки F-22 и F-35 в ходе войны?,"© РИА Новости, Виталий Аньков",28.05.2021
"National Review (США): Байден критиковал Трампа за выход из Договора по открытому небу, а теперь он сообщает России об отказе США вернуться к нему", | Перейти в фотобанк,28.05.2021
National Review (США): Америка должна стать морской сверхдержавой,"© РИА Новости, ВМС США",30.05.2021
"Адская битва: российская РСЗО «Торнадо-С» с новой «головкой» против украинской «Ольхи-М», китайской PHL-16 и других (Defense Express, Укриана)","© РИА Новости, Евгений Биятов",29.05.2021
The National Interest (США): почему 3 000 (или больше) единиц российского оперативно-тактического ядерного оружия так страшны для НАТО,"© РИА Новости, Константин Морозов",31.05.2021
"Forbes (США): Россия работает над созданием малозаметного истребителя, который она, вероятно, не может себе позволить", | Перейти в фотобанк,30.05.2021
"The National Interest (США): у армии США есть секретное оружие, чтобы победить Россию, Китай и кого угодно",,31.05.2021
The National Interest (США): действительно ли российский МиГ 1.44 — по-настоящему малозаметный истребитель?,© Mikoyan Project 1.44,31.05.2021
"Nikkei Asian (Япония): кто победит, если США начнут войну против Китая?",,01.06.2021
"Минобороны испытало украинскую САУ «Богдана»: видео стрельб (Обозреватель, Украина)",,02.06.2021
The National Interest (США): является ли второе вторжение России на Украину неизбежным?,"© РИА Новости, Максим Блинов",02.06.2021
Главред (Украина): сможет ли Украина прикрыться от России «Железным куполом»,,20.05.2021
"Отставной генерал Бен Ходжес: информбюро с будущего фронта — сегодня политика, завтра война (National Review, США)",,02.06.2021
Daily Mail (Великобритания): в российской Арктике обнаружена путинская военная база,"© РИА Новости, Павел Львов",19.05.2021
"«Мы обречены!»: «Твиттер» взорвался от сравнения американской призывной кампании с российской (Fox News, США)","© РИА Новости, Алексей Мальгавко",20.05.2021
Defence 24 (Польша): Россия меняет разведывательные Су-24МР на беспилотники и Су-34,"© РИА Новости, Кирилл Каллиников",19.05.2021
"Пугающий факт: российский ВМФ и сегодня может помериться силами с Америкой и НАТО (The National Interest, США)","© РИА Новости, Алексей Даничев",20.05.2021
"Демонстрация силы: когда британский военный корабль вошел в Черное море, Россия «уничтожила» вражеские суда сверхзвуковыми ракетами (The Sun, Великобритания)", | Перейти в фотобанк,19.05.2021
The National Interest (США): Огонь! Россия вкладывается в тяжелые ударные вертолеты,"© РИА Новости, Виталий Тимкив",20.05.2021
Gov.uk (Великобритания): Великобритания подписала соглашение об укреплении военно-морского потенциала Украины,,25.06.2021
"Fox News (США): Россия заявляет, что готова нанести удар по вторгающимся военным кораблям","© РИА Новости, Александр Гальперин",25.06.2021
Страна (Украина): «Прячьтесь в подвале». Зачем минкульт решил напугать жителей юго-востока нападением России,"© РИА Новости, Сергей Аверин",25.06.2021
"Le Figaro (Франция): Кремль сожалеет, что ЕС отказывается от идеи саммита с Путиным","© РИА Новости, Сергей Гунеев",25.06.2021
"Polskie Radio (Польша): «Фактически Красная Армия летом 41-го года не была уничтожена, она просто сдалась в плен»","© РИА Новости, Анатолий Гаранин",26.06.2021
Cumhuriyet (Турция): нагревающиеся воды в Черном море,"© РИА Новости, Джастин Гриффитс-Уилльямс",25.06.2021
CNN (США): почему друзья и противники Великобритании внимательно следят за противостоянием с Россией,,26.06.2021
NoonPost (Египет): Россия и Турция на саммите ЕС,,26.06.2021
Парад в честь 76-летия Победы в Великой Отечественной войне,,09.05.2021
Haber7 (Турция): устрашение от 26 стран! Турция тоже участвует,,10.05.2021
"CNN (США): на борту крошечного украинского патрульного катера, который бросает вызов российской военной мощи",,10.05.2021
The National Interest (США): почему на параде в честь Дня Победы не появилось российское гиперзвуковое оружие?,"© РИА Новости, Рамиль Ситдиков",12.05.2021
Факти (Болгария): новейшая военная техника Парада Победы на Красной площади,"© РИА Новости, Владимир Астапкович",11.05.2021
СМИ Британии: англичане живо комментируют военный парад в Москве и речь Путина,"© РИА Новости, Владимир Астапкович",10.05.2021
Global Times (Китай): «общие ценности» не приносят Индии благоволения Запада, | Перейти в фотобанк,12.05.2021
"The National Interest (США): где лучше всего пережить ядерную войну? Может быть, в Москве?","© РИА Новости, Рамиль Ситдиков",13.05.2021
Yahoo News Japan (Япония): Россия развивает новые технологии боевых БПЛА. Теперь дроны-перехватчики,"© РИА Новости, Григорий Сысоев",12.05.2021
"Кремлю не по силам большие корабли: первый из трех атомных крейсеров отправился на утилизацию (Defense Express, Украина)","© РИА Новости, Юрий Кавер",13.05.2021
"The Sun (Великобритания): без контроля над космическими вооружениями космическая война между Китаем, Россией и США «неизбежна» и может привести к ядерному конфликту","© flickr.com, NASA's Marshall Space Flight Center",14.05.2021
Корреспондент (Украина): угрозы вторжения остаются. Военные вызовы Украины,"© РИА Новости, Стрингер",13.05.2021
Shukan Gendai (Япония): на Тихом океане наступает канун войны?,,13.05.2021
Space (США): неизбежна ли война в космосе?,,13.05.2021
Forbes (США): французские истребители высокотехнологичного наблюдения только что проверили оборону России,"© РИА Новости, Министерство обороны РФ",14.05.2021
Курсор (Израиль): ЦАХАЛ опубликовал видео бомбардировки Газы,,14.05.2021
"Estadão (Бразилия): заявления России об инциденте с британским военным кораблем направлены на внутреннюю аудиторию, считает эксперт","© РИА Новости, Алексей Майшев",26.06.2021
"Весь интернет обсуждает российский военный парад в честь 76-летия победы в Великой Отечественной войне: чем отличился этот год? (WeChat, Китай)","© РИА Новости, Евгений Биятов",15.05.2021
The Times of Israel (Израиль): удар ЦАХАЛ в Газе разрушил здание с офисами международных СМИ,,15.05.2021
Daily Mail (Великобритания): Россия «берет под наблюдение» британский корабль в Черном море,"© CC BY-SA 1.0, Shaun Roster",18.05.2021
Business Insider (Германия): американские «морские котики» учатся воевать на суше и в воде в «стратегическом месте» недалеко от России,"© CC0 / Public Domain, ",18.05.2021
Bloomberg (Великобритания): есть ли смысл в дипломатических переговорах с Путиным?,,26.06.2021
NYT (США): главная угроза для Америки — она сама!,"© РИА Новости, Владимир Астапкович",26.06.2021
Цензор.НЕТ(Азербайджан): как азербайджанские байрактары уничтожили главный козырь Армении в войне за Карабах,,28.04.2021
"Керченская блокада: зачем Россия затеяла учения возле Крыма (Главред, Украина)",,27.04.2021
Eurasianet (США): Киргизия и Таджикистан наносят друг другу смертоносные удары,"© РИА Новости, Борис Ушмайкин",30.04.2021
The National Interest (США): почему Россия считает провокацией «рейд» в Черном море американского сторожевого корабля «Гамильтон», | Перейти в фотобанк,29.04.2021
"Daily Star (Великобритания): Владимир Путин «стоит за» пирамидальными НЛО, роившимися над кораблем ВМС США, заявляет экс-сенатор",,29.04.2021
"CNN (США): руководитель военной разведки США заявил, что вооруженные силы России представляют «экзистенциальную угрозу» для США","© РИА Новости, Владимир Астапкович",30.04.2021
Обозреватель (Украина): Путин не пропустит США. Почему Зеленский захотел изменить «нормандский формат», | Перейти в фотобанк,30.04.2021
"Читатели «Дейли мейл» о неудачном запуске «Калибра»: небось купили на толкучке по дешёвке (Daily Mail, Великобритания)", | Перейти в фотобанк,30.04.2021
Главред (Украина): почему Путин отвел своих «ихтамнетов» от границы Украины,"© РИА Новости, Кирилл Брага",01.05.2021
"Гибель «Нанггалы 402»: еще один «Курск»? (American Thinker, США)","© REUTERS, Fikri Yusuf",02.05.2021
Bloomberg (США): США и Россия на пути к столкновению в Черном море, | Перейти в фотобанк,08.05.2021
Akharin Khabar (Иран): бойтесь российских спутников-«вредителей»!, | Перейти в фотобанк,07.05.2021
"Страх Третьей мировой: Россия испытывает «непобедимое» ядерное супероружие, которое сотрет с лица земли Англию и Уэльс (The Daily Express, Великобритания)",,07.05.2021
The National Interest (США): российский истребитель Су-35С займет центральное место на Параде Победы,"© РИА Новости, Виталий Аньков",08.05.2021
Yahoo News Japan (Япония): российский вездеход ДТ-30 — мощная машина в эпоху глобального потепления,"© РИА Новости, Виталий Тимкив",04.05.2021
New Atlas (США): королевские морские пехотинцы тестируют реактивный ранец Gravity Industries во время посадки на корабль,,06.05.2021
Foreign Policy (США): Блинкен показывает в Киеве новое лицо американской дипломатии,,07.05.2021
The National Interest (США): готова ли Украина к очередному вторжению России?,"© РИА Новости, Павел Лисицын",16.04.2021
Главред (Украина): Россия перекрывает Керченский пролив на полгода,"© РИА Новости, Екатерина Кейзо",16.04.2021
"Türkiye (Турция): испугавшись ударных БПЛА, они нацелились на Turksat 5B!", | Перейти в фотобанк,16.04.2021
Interia (Польша): российская армия создает подразделение роботанков,,16.04.2021
The National Interest (США): военное присутствие России в Арктике стало более опасным,"© РИА Новости, Павел Львов",16.04.2021
The Globe and Mail (Канада): Владимир Путин делает высокие ставки на Украине,"© CC BY-SA 4.0, Пресс-служба Офиса президента Украины",19.04.2021
Fox News (США): американская разведка дает задний ход истории о российской награде за головы американских солдат,,18.04.2021
"Армiя INFORM (Украина): угроза с Азовского моря, или Зачем Россия перебрасывает десантные катера с Каспия","© РИА Новости, Григорий Сысоев",16.04.2021
Sina (Китай): может ли российская система С-500 перехватывать истребители-невидимки? Две детали дадут ключ к ответу,"© РИА Новости, Виталий Тимкив",18.04.2021
The National Interest (США): грандиозное столкновение танков,,19.04.2021
Японские СМИ: на встрече с премьером Сугой Байден втягивал Японию в конфликт с Китаем,,19.04.2021
Обозреватель (Украина): самолеты НАТО перехватили российскую авиагруппу над Балтикой,"© РИА Новости, Александр Вильф",22.04.2021
"Россия и Украина: пока бой с тенью. Что делать сейчас США? (The American Spectator, США)","© РИА Новости, Евгений Биятов",20.04.2021
Haber7 (Турция): травма от «Байрактар ТБ2» для россиян,"© РИА Новости, Михаил Воскресенский",19.04.2021
"Gazeta (Польша): над головами польские дроны, на земле техника, которая работает. Сегодня России было бы гораздо сложнее",,23.04.2021
"Не так страшен черт: почему Путин не способен захватить Украину (Главред, Украина)", | Перейти в фотобанк,23.04.2021
The American Conservative (США): пора лечить американские психозы по поводу Украины,"© РИА Новости, Евгений Биятов",23.04.2021
American Purpose (США): дроны меняют геополитический ландшафт на Ближнем Востоке и в мире,,08.04.2021
Факти (Болгария): российский истребитель перехватил американский самолет,"© РИА Новости, Павел Лисицын",12.04.2021
"The Sun (Великобритания): путинские субмарины-невидимки могут нанести Британии большой ущерб, перерезав ее подводные интернет-кабели","© РИА Новости, Алексей Даничев",09.04.2021
"Если завтра война. Удастся ли России захватить всю Украину (Еспресо, Украина)","© CC BY-SA 4.0, Пресс-служба Офиса президента Украины",12.04.2021
The National Interest (США): в соцсетях показали секретный российский танк «Бурлак»?,"© РИА Новости, Игорь Онучин",13.04.2021
"Труд (Болгария): оружие, которое могут применить Россия и Украина в случае эскалации конфликта в Донбассе",,12.04.2021
Главред (Ураина): станет ли усиление флота РФ в Черном море причиной начала войны,"© РИА Новости, Денис Петров",12.04.2021
Цензор.НЕТ (Украина): сколько батальонов у Путина? Анализ российских сил вторжения на Украину,"© РИА Новости, Саид Царнаев",12.04.2021
Daily Mail (Великобритания): кризис на Украине «в шаге от войны». Говорят британцы.,"© РИА Новости, Стрингер",13.04.2021
Факти (Болгария): Россия предупредила Турцию и весь мир,"© РИА Новости, Сергей Гунеев",13.04.2021
"«Война уже идет»: на границе с Россией украинские войска ждут массированного наступления Путина (The Globe and Mail, Канада)","© CC BY-SA 4.0, Пресс-служба Офиса президента Украины",14.04.2021
"Т-84 «Оплот-М»: насколько хорош лучший украинский танк? (The National Interest, США)","© CC BY-SA 4.0, Artemis Dread",14.04.2021
"Начнет ли Россия новое вторжение на Украину? Прогнозы известных аналитиков (Гордон, Украина)",,14.04.2021
Обозреватель (Украина): ВСУ устроили масштабные маневры танков и артиллерии возле Крыма,,14.04.2021
Forbes (США): Россия пытается восстановить гигантский атомный линейный крейсер — не получается,"© РИА Новости, Сайт Dover-Marina.com",14.04.2021
Главред (Украина): только применение Россией «Искандеров» заставит Запад помогать Украине, | Перейти в фотобанк,14.04.2021
"Ги Верхофстадт боится конфликта Евросоюза с Россией: «Не уверен, что мы способны себя защитить» (Daily Express, Великобритания)","© РИА Новости, Михаил Мордасов",01.04.2021
"Politico (США): украинская армия создаст России больше проблем, чем в 2014 году",,14.04.2021
Дневник (Болгария): болгарские истребители участвовали в операции НАТО по перехвату российских боевых самолетов,"© РИА Новости, Виталий Тимкив",01.04.2021
"Старый воин остается в строю: история развития Ту-160 (Жэньминь жибао, Китай)", | Перейти в фотобанк,02.04.2021
Корреспондент (Украина): США обещают поддержку Украине при эскалации на Донбассе, | Перейти в фотобанк,02.04.2021
"Поставки боевой техники в Западный и Южный военные округа ВС РФ в 2020 году: неутешительные выводы для «Оплота» и «Краба» (Цензор.НЕТ, Украина)","© РИА Новости, Министерство обороны РФ",02.04.2021
The Mirror (Великобритания): Россия принимает на вооружение новую смертельно опасную «подлодку для подводных диверсий»,"© РИА Новости, Павел Львов",02.04.2021
Главред (Украина): в Европе войска США привели в боеготовность из-за сил РФ у границ Украины,,02.04.2021
Nikkei Asian (Япония): Франция впервые участвует в учениях Индо-Тихоокеанского военного союза QUAD,,02.04.2021
Business Insider (Германия): российский ВМФ делает ставку на новые небольшие корабли с ракетами,"© РИА Новости, Алексей Даничев",05.04.2021
Yahoo News Japan (Япония): новые российские разработки в области борьбы с БПЛА,"© РИА Новости, Алексей Куденко",04.04.2021
"The National Interest (США): пять систем вооружений, с помощью которых Россия может разгромить Украину в войне","© РИА Новости, Алексей Куденко",05.04.2021
Daily Express (Великобритания): Россия испытывает «реальные опасения» по поводу вооруженных сил Великобритании — Путин в ужасе от тактики британской армии,,05.04.2021
Nikkei Asian (Япония): антизападное российско-китайское партнерство угрожает миру,"© РИА Новости, Михаил Климентьев",05.04.2021
Habertürk (Турция): а если НАТО отдаст Турции этот приказ,,06.04.2021
The National Interest (США): Россия и Украина — курс на войну?,"© РИА Новости, Игорь Зарембо",07.04.2021
Обозреватель (Украина): вертолеты ВСУ устроили полеты вблизи Крымского полуострова,,07.04.2021
The Sun (Великобритания): силы специального назначения Владимира Путина используют знаки Красного Креста на учениях по устройству засад,"© РИА Новости, Павел Лисицын",07.04.2021
"Уроки суэцкой катастрофы: причины радоваться для России (JB Press, Япония)", | Перейти в фотобанк,08.04.2021
"«Сделка века» от Макрона: должна ли Украина отказываться от французских самолетов (Главред, Украина)",,07.04.2021
The Times (Великобритания): британцы комментируют отвод российских войск от украинской границы,,23.04.2021
Fox News (США): российские боевые  машины с «полосами вторжения» направляются к украинской границе,,16.04.2021
Страна (Украина): бумажные войска. В каком состоянии сейчас находятся подразделения теробороны Украины,"© РИА Новости, Игорь Маслов",08.04.2021
The National Interest (США): за один год Россия уничтожила ВВС Украины,"© РИА Новости, Николай Лазаренко",14.04.2021
Jyllands-Posten (Дания): российское оружие судного дня может затапливать большие города, | Перейти в фотобанк,16.04.2021
The National Interest (США): какая авиация нужна Украине для сдерживания России?, | Перейти в фотобанк,26.04.2021
"The Sun (Великобритания): Путин подтвердил «успешное» испытание новой ракеты, «предназначенной для того, чтобы разрывать космические ракеты на части»", | Перейти в фотобанк,27.04.2021
Foreign Affairs (США): Опасное единение Китая и России. Как Западу разрушить его?,"© РИА Новости, Алексей Дружинин",08.05.2021
Polskie Radio (Польша): проект «Меченос» — новый уровень развития ВМС Польши,,25.03.2021
The National Interest (США): почему Америке не дает покоя российский ЗРК С-400,"© РИА Новости, Кирилл Каллиников",26.03.2021
Polityka (Польша): бумажное супероружие Путина, | Перейти в фотобанк,26.03.2021
"Мнение летчика: китайский истребитель J-16 безупречен и существенно превосходит Су-30 (Global Times, Китай)","© AFP 2021, STR",26.03.2021
