id,article,author,date,text
255,Песков заявил о бесполезности массовой раздачи денег из-за пандемии,Non author,"29 июн, 23:53","Массовая раздача денег населению во время пандемии коронавируса не оправдала себя ни в одной стране. Об этом заявил пресс-секретарь президента России Дмитрий Песков в эфире «Россия 24».«Просто раздача денег — это чистый популизм. А оказание адресной помощи тем в бизнесе, тем малоимущим слоям, кто больше всего нуждается, — это доказало свою эффективность в нашем случае», — сказал он.              По мнению пресс-секретаря, в прошлом году ситуация в стране требовала точечных мер и введения локдауна. Однако сейчас необходимости в таких радикальных действиях нет, несмотря на то что последствия распространения коронавируса ощущаются до сих пор и предприятия испытывают определенные проблемы.«Все живет, все работает. [Предприятия] испытывают проблемы, но это уже не требует такой массированной помощи», — указал Песков.    Председатель Банка России Эльвира Набиуллина , что, если правительство начнет печатать деньги и раздавать их россиянам, это приведет к росту инфляции. Она пояснила, что в таком случае спрос вырастет, а предложение нет.В то же время глава Сбербанка Герман Греф , что у российских властей в любом случае нет средств, чтобы широкомасштабно раздать деньги населению. «Здесь как в том анекдоте: назовите три причины, почему следует отступить? Причина первая: у нас нет снарядов. Вот так же и здесь: у нас нет такого количества снарядов», — говорил Греф. "
256,Московским ресторанам пообещали льготы и субсидии за вакцинацию,Мария Лисицына,"29 июн, 11:45","Предприятиям общепита в Москве дадут отсрочку по арендным платежам, они же включены в программу субсидий для малого и среднего бизнеса, говорится в  столичной мэрии. Вместе с этим власти города решили продлить до конца этого года программу льготных кредитов для предприятий малого и среднего бизнеса.«В целях смягчения последствий введенных ограничений правительством Москвы утвержден пакет дополнительных мер поддержки предприятий общественного питания», — сообщили в мэрии.Отсрочка по уплате аренды за третий квартал коснется тех, кто занимает площади, принадлежащие Москве. Сроки оплаты аренды переносятся до конца 2021 года.              Что касается субсидий, то их максимальный размер составит 1 млн руб. Их можно израсходовать на одну или несколько целей:Компании, желающие получить субсидию, должны выполнить требование о вакцинации не менее 60% сотрудников, а также соблюдать ограничения.                Те предприятия, которые не относятся к субъектам малого и среднего предпринимательства, но имеют годовую выручку не более 2 млрд руб., смогут получить льготные кредиты на пополнение оборотных средств и инвестиционные цели. Максимальный размер конечной ставки — 6%, максимальный размер кредита — 500 млн руб.С 28 июня в московские кафе и рестораны пускают по QR-коду, подтверждающему вакцинацию, либо по подтверждению перенесенного за последние полгода COVID-19, либо по результату ПЦР-теста. До 12 июля без этих свидетельств безопасности человека для окружающих можно посещать летние террасы и открытые веранды кафе.              Рестораторы , что понимают тяжесть ситуации с COVID-19, но введенные меры, скорее всего, приведут к резкому падению посещаемости общепита. «Можно рассчитывать на падение гостевого трафика на уровне 90–95%, что равносильно закрытию ресторанов», — утверждал основатель группы компаний Hurma Дмитрий Левицкий.Совладелец гастробара Blush Даниил Шитов сравнил эту ситуацию с полным локдауном, который был введен в Москве весной прошлого года. По его словам, гостевой поток сократится «практически до нуля», а рестораторы окажутся в ловушке из-за необходимости платить зарплату сотрудникам и оплачивать аренду.«Различные опросы в Telegram-каналах показали, что по тесту в ресторан не пойдут более 70% людей, а я думаю, что даже больше. Скорее всего, гостей не будет от слова «совсем». Доставка и заказы с собой не спасут ситуацию, так как работать будет некому», — говорил владелец сети «Пицца 22 см» Эльдар Кабиров.    Некоторые рестораторы , что готовы компенсировать своим посетителям стоимость ПЦР-тестов. Ресторатор Александр Раппопорт пояснял, что клиент может предъявить результаты теста в ресторане и из его счета будет вычтена 1 тыс. руб."
257,Власти Петербурга оценили вероятность введения QR-кодов в кафе,Non author,"30 июн, 00:32","Власти Санкт-Петербурга оценят, какой эффект даст московский опыт введения QR-кодов для посещения общепита. Об этом заявил замглавы комитета по промышленной политике Алексей Яковлев в  телеканала «Санкт-Петербург».«Очень внимательно нужно смотреть, как это отразится на бизнесе и насколько это реально повлияет на эпидемиологическую ситуацию. Здесь нужен тонкий баланс, во-первых, чтобы не навредить, во-вторых, чтобы использовать ограничительные меры в крайнем случае», — пояснил он.              Яковлев отметил, что правительство Петербурга находится в тесном контакте с бизнесом и вводит ограничения «очень аккуратно».Ранее глава Ситуационного центра по вопросам соблюдения стандартов безопасной деятельности Александр Ситов , что решение о введении новых коронавирусных ограничений в Петербурге будет приниматься с учетом темпов вакцинации и развития эпидемиологической ситуации.    Ранее Петербург  свой рекорд смертности среди зараженных коронавирусом. Тогда за сутки в городе умерли 110 человек. Всего в Петербурге с начала пандемии, по данным оперативного штаба,  16 235 больных COVID-19. Заболели 468 149 человек. "
258,Путин ответит на вопросы россиян во время прямой линии,Non author,"30 июн, 00:00","Президент России Владимир Путин 30 июня будет отвечать на вопросы россиян во время прямой линии.  Программа «Прямая линия с Владимиром Путиным» начнется в 12:00 по московскому времени, ее будут транслировать каналы «Россия 1», «Первый», «Россия 24», ОТР, НТВ, «Мир», а также радиостанции «Маяк», «Вести FM» и «Радио России»,  ранее в пресс-службе Кремля.По словам пресс-секретаря президента России Дмитрия Пескова, в этом году традиционное мероприятие будет «высокотехнологичным», так как граждане могут задавать свои вопросы президенту не из студии, а через приложение в смартфоне. Традиционной студии, где сидят журналисты и некоторые из тех, кто хочет задать вопрос президенту, в этом году не будет, отметил Песков. Девизом предстоящей прямой линии он назвал «без лишних посредников».  Задать вопрос президенту можно через сайт программы moskva-putinu.ru (москва-путину.рф) и через приложение «Москва — Путину». Вопрос также можно задать через СМС- или ММС-сообщения на номер 0–40–40 и по телефону 8–800–200–40–40,  в Кремле накануне. Текстовые и видеовопросы президенту можно отправить и через социальные сети «ВКонтакте» и «Одноклассники». Официальные группы программы — vk.com/moskvaputinu и ok.ru/moskvaputinu. Отправлять вопросы можно до конца прямого эфира 30 июня.              Самые популярные вопросы от россиян к президенту связаны с вакцинацией и борьбой с коронавирусом,  ранее редактор прямой линии Антон Морозов в интервью телеканалу «Россия 24».Общение граждан с президентом в формате прямой линии регулярно проходит в России с 2001 года. Мероприятие не проводилось в 2004, 2012 и 2020 году. В 2008–2011 годах, когда Путин занимал должность премьер-министра, программа носила название «Прямой разговор с Владимиром Путиным».В прошлом году прямую линию  из-за пандемии. Путин общался с гражданами России в рамках пресс-конференции, которая прошла в декабре."
259,Гватемала попросила вернуть аванс за «Спутник V» из-за задержки поставок,Наталия Анисимова,"29 июн, 23:32","Гватемала хочет добиться от России возврата денег, выплаченных за вакцину от коронавируса «Спутник V», из-за задержек с поставками препарата. Об этом на конференции сообщила министр здравоохранения страны Амелия Флорес, видео в своем Twitter  журналист Андреа Домингес.«Мы просим <...> возврата денег. И если у них [российской стороны] позже будет возможность продать ее, мы оплатим по факту поставки», —  Флорес (цитата по Republica.gt).По словам министра, она направила соответствующее обращение в Российский фонд прямых инвестиций (РФПИ).              Глава МИД Гватемалы Педро Броло , что затронул этот вопрос во время своей поездки в Россию на прошлой неделе.В РФПИ позднее ответили, что посылают в страну грузы вакцин. «Еще один самолет с вакциной «Спутник V» должен прибыть в Гватемалу на этой неделе. Еще один борт с грузом вакцины прибудет уже в начале следующей недели в рамках исполнения контрактных обязательств», — заявили в фонде.                В апреле Минздрав Гватемалы , что заключил с российской стороной контракт на поставку 16 млн доз «Спутника V». Тогда же власти объявили, что приступили к выплате аванса, который соответствует 50% от покупки всей партии и составляет 614,5 млн гватемальских кетцалей (около 6 млрд руб.). 5 мая в страну  первую партию российской вакцины. В настоящий момент, как отмечает , Гватемала получила только 150 тыс. доз вакцины.Министерство здравоохранения Гватемалы  российский препарат в конце февраля. В стране также применяются Moderna и AstraZeneca, которые им поставили безвозмездно или в рамках механизма COVAX.Население Гватемалы — около 18 млн человек. На сегодняшний день хотя бы одну дозу препарата получили 4,2%, передает .    "
260,В петербургском метро после затопления станции в Москве приготовили помпы,Non author,"29 июн, 11:57","В метро Санкт-Петербурга приготовили мобильные помпы на случай затопления после прогнозируемых ливневых дождей. Об этом  в пресс-службе комитета по транспорту.«Работники Метрополитена Петербурга подготовили переносные помпы на случай проникновения потоков воды в вестибюли станций», — говорится в сообщении. В комитете по транспорту отметили, что аварийные бригады метрополитена готовы и к другим нештатным ситуациям, которые могут возникнуть из-за мощного дождя. На улицах города, где ранее происходили затопления проезжей части, проверят систему ливневой канализации.Как  «РБК Петербург». Северо-Западное управление по гидрометеорологии и мониторингу окружающей среды прогнозирует в Петербурге дождь во второй половине дня 29 июня и в первую половину дня 30 июня.                           28 июня в некоторых районах Москвы  почти 70% месячной нормы осадков, из-за затоплений было  движение поездов на участке Калужско-Рижской линий, включая станции «Теплый Стан», «Ясенево» и «Новоясеневская». Вода затопила пути и вестибюль станции «Ясенево». На Филевской линии метро между станциями «Багратионовская» и «Кунцевская» также не ходили поезда, было остановлено движение по наземному участку метро между «Киевской» и «Кунцевской»."
261,Аналитики зафиксировали рост выручки медлабораторий на 21% за неделю,"Георгий Тадтаев, ","29 июн, 12:00","Медицинские лаборатории в России за минувшую неделю увеличили выручку на 21%, до 77 млн руб., показала статистика эквайрингового бизнеса ВТБ (есть у РБК). К показателям за аналогичный период 2019 и 2020 годов оборот в категории медицинских лабораторий вырос более чем в 1,5 раза.Количество транзакций в медлабораториях за прошедшую неделю оказалось на 21% больше, чем неделей ранее, — почти 40 тыс. По сравнению с аналогичным периодом прошлого года спрос на услуги лабораторий увеличился в два раза, а с доковидным 2019 годом — в 2,2 раза. При этом оборот по сравнению с 2020 годом вырос на 64%, а с 2019 годом — на 71%.А вот средний чек в лабораториях, несмотря на рост популярности их услуг, уменьшился. Он составил 3,2 тыс. руб. — это на 11% больше, чем неделей ранее, но на 4% меньше, чем в 2020 году, и на треть меньше показателей 2019 года.«Изменение эпидемиологической ситуации в России, особенно в Москве и Санкт-Петербурге, а также введение связанных с этим ограничений привело к росту спроса на услуги медицинских лабораторий, в частности на проведение ПЦР-тестирования и анализов на антитела. Поэтому выручка медицинских лабораторий ожидаемо выросла, и, по нашей оценке, этот рост продолжится — в первую очередь в Москве, где накануне вступили в силу новые правила посещения заведений общественного питания», — прокомментировал эти данные Сергей Кирпиченко, заместитель руководителя департамента эквайринга ВТБ.В лабораторной службе «Хеликс» наблюдается рост на исследования уровня антител к COVID-19 и на ПЦР-тесты, сообщила РБК заместитель генерального директора компании Дарья Горякина. По ее словам, количество заказов по ПЦР-тестам за прошлую неделю вырос на 53% по сравнению с предыдущей. При этом количество заказов тестов на антитела за аналогичный период выросло на 270%.«Повышенный спрос связан с целым рядом факторов: введением правительством РФ обязательной вакцинации в ряде регионов, ведением QR-кодов в Москве для доступа в места общепита, сезоном отпусков, развитием третьей волны COVID-19», — объяснила она.Горякина подчеркнула, что средний чек за прошлую неделю остался на том же уровне, что и за предыдущую неделю. «Предпосылок для роста среднего чека нет, стоимость ПЦР-тестов в «Хеликс» не менялась: стандартный ПЦР-тест стоит 1400 рублей, экспресс-анализ на COVID-19 со справкой для предъявления перед выездом за границу — 2100 рублей», — заключила представитель лаборатории.Как рассказал РБК директор BU розничного сегмента медицинских офисов KDL Михаил Белякович, в розничном сегменте компании выручка выросла на 20%, в направлении выездных услуг — на 12% по сравнению с предыдущей неделей. По его словам, рост произошел в большей степени в тех субъектах, где ввели обязательную вакцинацию, например, в Москве и Московской области. В то же время на неделе с 21 по 27 июня компания зафиксировала незначительное уменьшение среднего чека, чем неделей ранее. Это связано с тем, отмечает Белякович, что большинство пациентов проводили обследование только на антитела к Covid-19, поэтому наблюдалось сокращение количества позиций в чеке.РБК обратился за комментарием в лаборатории «Инвитро», «Гемотест».              С середины июня в России фиксируется рост спроса на ПЦР-тесты и анализы на антитела,  РБК в частных лабораториях. Так, в «Инвитро» рост числа обращений за последние недели составил 150%, говорила РБК директор по связям с общественностью компании Нина Орешкина. Сейчас спрос вырос более существенно, чем в начале предыдущей волны COVID-19 осенью 2020 года, отметила она. Рост интереса россиян к тестам подтвердили также в лабораториях «Хеликс» и «Гемотест».Скачок спроса на услугу медицинских лабораторий произошел на фоне резкого роста заболеваемости COVID-19 в России и одновременно увеличения числа связанных с эпидемией ограничений. С начала июня, когда заболеваемость была на стабильном уровне относительно показателей весны, ежесуточное число выявляемых случаев заражения выросло с примерно 9 тыс. до более чем 20 тыс. Ежесуточное количество смертей от COVID-19, по данным оперштаба, выросло с 350–400 до более чем 600. 29 июня в России был зафиксирован абсолютный рекорд по количеству смертей за сутки с начала пандемии — 652. В Москве и более чем 20 других регионов России была введена обязательная вакцинация некоторых групп населения. В Москве, кроме того, ввели ограничения на посещение общепита без QR-кода, свидетельствующего о вакцинации, наличии естественного иммунитета от COVID-19 или ПЦР-теста об отсутствии болезни."
262,В России за сутки выявили менее 21 тыс. заболевших коронавирусом,Артем Филипенок,"29 июн, 11:48","За последние сутки в России были выявлены 20 616 случаев заражения коронавирусом (против 21 650 накануне), говорится в  федерального оперативного штаба. Общее число заболевших с начала пандемии достигло 5 493 557.С 24 июня в стране выявляют не менее 20 тыс. заболевших. 26 и 28 июня этот показатель превышал отметку в 21 тыс.Выздоровевшими за последние сутки были признаны 14 697 человек, что стало максимальным показателем с весны. Число людей, находящихся под наблюдением, превысило 370 тыс.   Больше всего случаев инфицирования за последние сутки выявлено в столице — 6209. Это минимальный показатель с 17 июня.Снизилось число заболевших и в Подмосковье — 2453 (2722 накануне). В Санкт-Петербурге выявили 1374 новых случая инфицирования, что стало максимумом с начала февраля.Более 250 случаев заражения за последние сутки также было выявлено в следующих регионах:"
263,Горелкин предложил поменять норму о доле иностранцев в онлайн-кино,Мария Лисицына,"29 июн, 12:06","Депутат-единорос Антон Горелкин представил обновленную версию нашумевшего законопроекта, в котором ранее предлагал ограничить долю иностранцев в онлайн-кинотеатрах, работающих в России, до 20%. В новой версии эта поправка отсутствует. Проект документа Горелкин опубликовал в своем Telegram-канале.Изначально депутат  регламентировать структуру собственности онлайн-кинотеатров и ограничить долю иностранцев в них 20%. На то, чтобы привести свою структуру в соответствие новым требованиям, давалось два месяца. Исключение могло быть сделано только для кинотеатров, которые получат разрешение правительственной комиссии.В последней версии законопроекта это положение отсутствует.              При этом в документ была добавлена норма о том, что российское юрлицо, которое владеет онлайн-кинотеатром, не должно прямо или косвенно быть во владении, под контролем иностранного государства, международной организации. Иностранное государство, международная организация, а также российское юрлицо не может осуществлять любые формы контроля над владельцем кинотеатра (если суточное число посетителей более 10 тыс.), указано в новой версии документа. В законопроекте указано, что под контролем понимается возможность принимать решения «более чем 50 процентами общего количества голосов».Пока законопроект не внесен в Госдуму. Источник «Коммерсанта» , что это может произойти осенью. Сейчас положения документа обсуждаются с участниками рынка. Горелкин также написал, что планирует в скором времени провести круглый стол с представителями индустрии, а до этого принимает пожелания и мнения о положениях проекта закона.В другом  в Telegram Горелкин прокомментировал нововведения, пояснив, что в этой версии документа он предложил разделить функции владения и управления аудиовизуальными средствами (АВС, так в законах называются онлайн-кинотеатры).«Иностранцы смогут владеть сервисами и получать прибыль от своих инвестиций, но не смогут контролировать управленческие решения или прямо их принимать. При таком подходе нашим АВС ничего не мешает выйти на IPO», — пояснил он.Ранее кинотеатры жаловались на то, что принятие закона в его первоначальной версии сделает выход на IPO бессмысленным, так как в проспекте эмиссии нужно будет указать про документ, что сведет на нет интерес инвесторов.              Еще одно нововведение касается работы на российском рынке изначально зарубежных компаний. «В рамках тренда на «приземление» зарубежных компаний в российской юрисдикции АВС изначально иностранного происхождения получат возможность открытия в РФ полноценных дочерних или совместных предприятий, но при условии, что управляться они будут с участием специализированного фонда», — написал в сопроводительном сообщении Горелкин.Ранее первую версию законопроекта  онлайн-кинотеатры. Ассоциация «Интернет-видео», которая объединяет видеосервисы ivi, Okko, Megogo, Start, Amediateka и другие сервисы, посчитала, что в проекте закона «безосновательно стирает различия между российскими и иностранными аудиовизуальными сервисами», а также вынуждает их менять структуру собственности. Там предупредили, что это приведет к негативным последствиям для рынка и может вылиться в потерю доходов федерального бюджета."
264,"Кабмин выделил 1,58 млрд руб. на льготные авиабилеты на Дальнем Востоке",Non author,"29 июн, 12:07","Премьер-министр России Михаил Мишустин поручил выделить 1,58 млрд руб. на льготные пассажирские авиаперевозки между регионами Дальневосточного федерального округа (ДФО) в 2021 году. Соответствующее распоряжение  на сайте правительства.Выделенные средства позволят снизить цены на авиабилеты по 20 направлениям, включая:Стоимость авиаперелета составит от 2,2 тыс. до 10,9 тыс. руб. в одну сторону, отметили в правительстве.              По словам Мишустина, благодаря господдержке за 2021 год будет организовано более 1,7 тыс. рейсов с льготными билетами, которые смогут приобрести более 100 тыс. человек.Авиаперелеты по 20 направлениям станут первыми рейсами объединенной дальневосточной авиакомпании. Она создается по  президента России Владимира Путина с начала 2020 года для синхронизации перелетов в регионе.О том, что правительство выделит около 2 млрд руб. для полетов на Дальнем Востоке,  РБК гендиректор авиакомпании «Аврора» Константин Сухоребрик 16 июня. Этот перевозчик стал основой для создания новой компании. Начало полетов дальневосточной авиакомпании планируется этим летом.  "
265,Следствие запросило заочный арест директора ФБК Жданова,"Мария Бондаренко, ","29 июн, 12:09","В Нагатинский суд Москвы поступило ходатайство следствия с требованием заочного ареста бывшего главы Фонда борьбы с коррупцией (признан в России экстремистской организацией и иноагентом) Ивана Жданова. Об этом РБК сообщили в суде.В начале июня Жданова  в федеральный розыск. Сам он заявил РБК, что узнал о своем преследовании от адвоката. «Могу сказать, что это сделано для того, чтобы продолжить политическое преследование за то, что я выдвигался в Госдуму, и в рамках общего преследования команды Алексея Навального», — считает Жданов.Он напомнил о нескольких уголовных делах в отношении себя. «Там было возбуждено два уголовных дела по ч. 2 ст. 315. По одной меня уже осудили, привлекли, по второй все дело длилось и никаких действий давно не совершалось с ноября, с обыска. Суть, по какому из пяти дел, по которому в отношении меня возбудили, меня сажают под заочный арест, — это детали, которые не имеют никакого содержания», — сказал РБК Жданов.    Адвокат Жданова Владимир Воронин ранее говорил РБК, что Жданов находится за границей.                9 июня Мосгорсуд  ФБК и штабы Алексея Навального экстремистскими организациями. Признать эти организации экстремистскими требовала прокуратура Москвы. Надзорное ведомство сочло, что «под прикрытием либеральных лозунгов» они занимаются «формированием условий для дестабилизации социальной и общественно-политической ситуации» и «создают условия для изменения основ конституционного строя, в том числе с использованием сценария «цветной революции». До этого Минюст включил эти организации в список иностранных агентов.              На фоне процесса по делу о признании ФБК и штабов Навального экстремистскими организациями разрабатывался законопроект о запрете избираться причастным к экстремистским и террористическим организациям. Закон в итоге . Согласно документу на выборные должности не смогут претендовать лица, чью причастность к деятельности экстремистских и террористических организаций установил суд."
266,ЦБ выпустит более 1 млн памятных монет с медвежонком Умкой,Non author,"29 июн, 12:11","Банк России 30 июня выпустит в обращение памятные монеты «Умка» серии «Российская (советская) мультипликация». Об этом  на сайте ЦБ.Монеты отлиты из серебра (номиналом 3 руб.) и из недрагоценных металлов (номиналом 25 руб.), в том числе с цветным покрытием.Серебряная монета «Умка» с двух сторон по окружности имеет выступающий кант. На лицевой стороне расположено изображение герба России и надписи «Российская Федерация», «Банк России» и номинал. На оборотной стороне — надпись «Умка» и цветное изображение белого медвежонка Умки на фоне льда и звездного неба.              Монета из недрагоценного металла имеет две вариации — с цветным и бесцветным изображением героев мультфильма.Тираж монеты в 3 руб. из серебра составил 7 тыс. штук, из недрагоценного металла с цветным покрытием — 150 тыс. штук, без цветного покрытия — 850 тыс. штук.Мультфильм «Умка» был создан режиссерами Владимиром Поповым и Владимиром Пекарем по сценарию писателя Юрия Яковлева на киностудии «Союзмультфильм». Он вышел в 1969 году.Ранее Центробанк уже выпускал монеты с героями мультфильмов: в 2018 году — памятные монеты с героями , в 2019 году — памятные монеты с , в 2020 году — памятные монеты .Гендиректор «Союзмультфильма» Юлиана Слащева говорила РБК, что компания договорилась с ЦБ об использовании персонажей 13 мультфильмов в течение пяти лет на памятных монетах."
267,АТОР подсчитала сумму потерь Краснодарского края от ограничений туристам,Non author,"29 июн, 12:38","Краснодарский край может потерять от введенных ограничений для туристов за июль и август от 40 до 55 млрд руб. Об этом  эксперты Ассоциации туроператоров России (АТОР).«Потери Краснодарского края от вводимых ограничений только за июль и август могут составить от 40 до 55 млрд руб.», — отметили в АТОР.По оценкам туроператоров, за июль регион может потерять 20–25% от прогнозируемого турпотока, так как многие туристы не готовы платить за ПЦР-тесты и делать прививку от коронавируса. «Не меньше 3 млн туристов уже имеют на руках путевки в объекты размещения в июле. Средняя цена поездки на человека в июле составляет 18–20 тыс. руб. Это 54–60 млрд руб. Таким образом, прямые потери могут составить до 15 млрд руб.», — пояснили в АТОР.              На август туры на курорты Краснодарского края приобрели около 2,5 млн человек, что составляет около 50 млрд руб. По прогнозам компании АЛЕАН, от поездок на Кубань в августе могут отказаться около 50% туристов, а, по прогнозам компании «Дельфин», — до 80% туристов, то есть около 2 млн человек. «Исходя из этих оценок финансовые потери бизнеса региона в августе могут составить от 25 до 40 млрд руб. Последняя оценка ближе к истине», — указали в АТОР.На сентябрь продано туров примерно на 1 млн человек на сумму примерно 18–20 млрд руб., которые также могут быть отменены, добавили эксперты.                           Ранее власти Краснодарского края , что с 1 июля будут принимать туристов только при наличии у них ПЦР-теста на коронавирус с отрицательным результатом, а с 1 августа — при наличии сертификата о вакцинации. Ростуризм  власти Кубани продолжить в августе принимать туристов с отрицательным ПЦР-тестом, а не только вакцинированных, однако те , что не планируются менять ограничения.Также смягчить меры  краснодарским властям глава Роспотребнадзора Анна Попова. Ее ведомство предложило пускать на курорты не только привитых, но и ранее переболевших коронавирусом. "
